Run,Iteration,SMILES,Deep Frag Score,VINA
9,9,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)cc(F)c3C(F)(F)F)c1)C(CN)C2)N(C)C(=O)Cc1ccc(F)c(F)c1,0.563983,-10.82
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CC(CCl)N(C(C)c1ccc(O)c3ccccc13)CC2,0.561762,-10.82
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)C(OO)CN(C(C)c1cccc3ccccc13)CC2,0.557716,-10.82
2,5,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cccc3c(F)cccc13)CC2,0.824089,-10.82
3,3,CC1=c2cc3c(cc2=NC(N2CCC(C(=O)NCC4C(F)C5CCC4C54CC4O)CC2O)N1)CCC3,0.932262,-10.81
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1ccc(O)c3ccccc13)C(CBr)C2,0.567986,-10.81
2,7,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(O)c(O)c3ccccc13)CC2CN,0.583309,-10.81
7,6,CC(c1cc2ccccc2[nH]c1=O)N1CCC2(CC2C(=O)NCC2(c3ccccc3)CC(F)(F)C(F)(F)C2)C(F)C1,0.708492,-10.81
1,1,O=C(c1nn(CCBr)c2c1CC(N1CC=C(c3ccccc3)CC1)CC2)N1CCc2ccccc2C1,0.554847,-10.81
2,2,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1C)CCN(Cc1cccc3cc(F)ccc13)CC2,0.927104,-10.8
1,5,CCn1nc(C(=O)N2CCc3ccc(F)cc3C2)c2c1CCC(N1CC=C(c3cccc(O)c3O)C(O)C1)C2,0.722411,-10.8
2,7,CCC1Cc2c(F)cc(F)cc2C(C)N1C(=O)c1c(OC)cc(=O)n2c1CCN(C(C)c1cc(O)c(O)c3ccccc13)CC2,0.600744,-10.8
9,7,CC(NC(=O)Cc1ccc(F)c(F)c1)c1nnc2n1CCN(Cc1cc(F)cc(-c3cc(O)ccc3C(F)(F)F)c1)CC2,0.924998,-10.79
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CC(CF)N(C(C)c1ccc(O)c3ccccc13)CC2,0.562452,-10.79
2,1,COc1cc(=O)n2c(c1C(=O)N1CCc3cc(F)ccc3C1)CCN(Cc1cccc3ccccc13)CC2,0.872036,-10.79
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2CCl,0.564833,-10.78
2,8,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(CF)c1cc(OC)c(O)c3ccccc13)CC2,0.744577,-10.78
3,3,CC1=c2cc3c(cc2=NC(N2CCC(C(=O)NCC4CC5CCC4C54CC4O)CC2O)N1)CCC3F,0.705792,-10.78
9,9,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)cc(F)c3C(F)(F)F)c1)CC2F)N(C)C(=O)Cc1ccc(F)c(F)c1,0.787536,-10.78
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)C(CF)C2,0.564506,-10.78
2,8,COc1cc(=O)n2c(c1C(=O)N1C(C=O)Cc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(OC)c(O)c3ccccc13)CC2,0.609174,-10.77
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1ccc(O)c3ccccc13)CC2C=O,0.579566,-10.77
2,7,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(O)c(O)c3ccccc13)C(CO)C2,0.64945,-10.77
2,1,CCC1CN(Cc2cccc3ccccc23)CCc2c(C(=O)N3CCc4ccccc4C3)c(OC)cc(=O)n21,0.735816,-10.77
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2CF,0.569394,-10.76
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)c(C)c3C1C)CCN(C(C)c1cccc3ccccc13)CC2,0.638645,-10.76
8,5,O=C(c1nc(=O)[nH]c2ccccc12)N1CC(O)c2c([nH]c3ccccc23)C1C1(O)CCC(F)C(F)(F)C1,0.706694,-10.76
8,10,CCOC1(C2c3[nH]c4ccccc4c3C(OC)CN2C(=O)c2nc(=O)[nH]c3ccccc23)CC(F)(F)C(F)(F)CC1F,0.853326,-10.76
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)CC2CN,0.585464,-10.76
2,2,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1C)CCN(Cc1cccc3ccccc13)CC2C=O,0.56643,-10.75
2,2,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1C)CCN(Cc1c(N)ccc3ccccc13)CC2,0.566528,-10.75
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)c1cccc3ccccc13)C(CBr)C2,0.56074,-10.75
1,4,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CCC(c3cccc(O)c3O)=CC1F)C2,0.561905,-10.75
1,3,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CCC(c3cccc(O)c3)=C(N)C1)C2,0.609542,-10.74
9,9,CC(c1nnc2n1CCN(Cc1cccc(-c3cc(O)cc(F)c3C(F)(F)F)c1)CC2)N(C)C(=O)C(O)c1ccc(F)c(F)c1,0.772401,-10.74
8,5,O=C(c1nc(=O)[nH]c2ccccc12)N1CCc2c([nH]c3ccccc23)C1(O)C1(O)CCC(F)C(F)(F)C1,0.667864,-10.74
2,8,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(OC)c(O)c3ccccc13)C(CO)C2,0.561016,-10.74
9,6,CC(NC(=O)Cc1cccc(F)c1)c1nnc2n1CCN(Cc1ccc(O)c(-c3cc(O)ccc3C(F)(F)F)c1)CC2,0.753455,-10.74
9,6,CC(NC(=O)Cc1cccc(F)c1)c1nnc2n1C(O)CN(Cc1cccc(-c3cc(O)ccc3C(F)(F)F)c1)CC2,0.983036,-10.74
2,4,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(C(C)(C)c1cccc3ccccc13)CC2,0.591936,-10.74
8,7,COC1(C2c3[nH]c4ccccc4c3CCN2C(=O)c2nc(=O)[nH]c3ccccc23)CC(O)C(F)(F)C(F)(F)C1,0.870428,-10.74
2,9,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CCN(C(C)c1cc(OC)c(O)c3c(O)c(OO)ccc13)CC2,0.550241,-10.74
1,1,Cn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(C)(N1CC=C(c3ccccc3)CC1)C2,0.715159,-10.73
1,6,CCn1nc(C(=O)N2CCc3ccccc3C2)c2c1CCC(N1CC(O)(O)C(c3cccc(O)c3O)=CC1C)C2,0.835124,-10.72
2,6,COc1cc(=O)n2c(c1C(=O)N1CCc3c(F)cc(F)cc3C1C)CC(CI)N(C(C)c1ccc(O)c3ccccc13)CC2,0.561775,-10.72
2,2,COc1cc(=O)n2c(c1C(=O)N1CCc3ccccc3C1C)CCN(Cc1c(O)ccc3ccccc13)CC2,0.75831,-10.72
7,7,CC(c1cc2cccc(O)c2[nH]c1=O)N1CCC2(CC1)CC2C(=O)NCC1(c2ccccc2O)CC(F)(F)C(F)(F)C1,0.825416,-10.72
2,3,COc1cc(=O)n2c(c1C(=O)N1CCc3ccc(F)cc3C1C)CCN(Cc1cccc3c(OO)cccc13)CC2,0.555811,-10.71
8,7,COC1(C2c3[nH]c4cccc(C)c4c3CCN2C(=O)c2nc(=O)[nH]c3ccccc23)CCC(F)(F)C(F)(F)C1,0.580601,-10.71
