Run,Iteration,SMILES,Deep Frag Score,VINA
5,4,Cc1cc(C(C)N2C(=O)N(C)C3(CCCc4ccc(F)cc43)C2=O)cc2c1OCC(O)CO2,0.819995,-10.23
8,4,C#CC1CN(S(=O)(=O)c2ccc3c(c2)CCCC3)CCN1CC(=O)N1CCc2cc(O)c(OC)cc2C1,0.554685,-10.23
9,8,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2cc(O)ccc12,0.932735,-10.23
7,3,COC1CCCc2sc3nc(CN4CCN(S(=O)(=O)c5ccc6c(c5)CCCC6F)CC4)[nH]c(=O)c3c21,0.748066,-10.23
9,10,CCc1c(C2(OC)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1C(C)c1cc(F)c(F)c2c(O)cccc12,0.915933,-10.23
9,8,C=CC(C)c1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.543521,-10.22
5,4,Cc1cc(C(C)N2C(=O)N(C)C3(CCCc4ccccc43)C2=O)cc2c1OC(CI)C(O)CO2,0.556574,-10.22
9,6,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(C)c1C1(O)NC(=O)c2c(O)cc(F)c(F)c2N1,0.872798,-10.22
8,5,COc1c(O)cc2c(c1O)CN(C(=O)CN1CCN(S(=O)(=O)c3ccc4c(c3)CCCC4)C(C=O)C1)CC2,0.62517,-10.21
9,6,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CCCl)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.563821,-10.21
9,6,C#CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.564658,-10.21
9,3,Cc1cc2c(cc1F)NC(c1c(C)nn(Cc3cc(F)cc4ccccc34)c1C)NC2=O,0.683648,-10.21
4,10,Cc1cc(O)c(O)c(O)c1N1CCN(CC(=O)N2N=C(c3ccc4c(O)c(O)c(O)cc4c3)C(F)C2c2c(F)ccc(F)c2F)CC1,0.888285,-10.2
9,7,CCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(C)nn1Cc1cc(F)c(F)c2ccc(C)cc12,0.649773,-10.2
5,6,Cc1cc(C(C)N2C(=O)N(C(C)C)C3(CCCc4ccccc43)C2=O)c(CI)c2c1OCC(O)CO2,0.557291,-10.2
9,4,Cc1nn(Cc2cc(F)cc3ccccc23)c(CCF)c1C1(O)NC(=O)c2ccc(F)cc2N1,0.570427,-10.2
10,4,Cc1[nH]c2ccc(C(=O)N3C4CCC3(O)C(C)C(O)(Cc3cc(F)c(F)c(F)c3F)C4)cc2c1C,0.816582,-10.19
9,10,CCc1c(C2(OC)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1C(C)c1c(F)c(F)c(F)c2ccccc12,0.634343,-10.19
9,6,Cc1nn(Cc2cc(F)c(F)c3ccccc23)c(CC#N)c1C1(O)NC(=O)c2ccc(F)c(F)c2N1,0.580937,-10.19
5,6,CC(=O)OC1COc2cc(C(C)N3C(=O)N(C(C)C)C4(CCCc5ccccc54)C3=O)cc(C)c2OC1,0.552951,-10.18
5,7,Cc1cc(C(C)N2C(=O)N(C(C)C)C3(CCC(C)c4ccc(F)cc43)C2=O)cc2c1OCC(O)CO2,0.716243,-10.18
9,6,Cc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2)c(CO)nn1Cc1cc(F)c(F)c2ccccc12,0.611383,-10.18
5,6,Cc1cc(C(C)N2C(=O)N(C(C)C)C3(CCCc4ccccc43)C2=O)cc2c1OCC(O)(C[SeH])CO2,0.558621,-10.18
9,10,CCc1c(C2(OC)NC(=O)c3cc(F)c(F)c(F)c3N2F)c(C)nn1C(C)c1cc(F)c(F)c2ccccc12,0.664229,-10.18
5,4,Cc1c(C(C)N2C(=O)N(C)C3(CCCc4ccccc43)C2=O)cc2c(c1C)OCC(O)CO2,0.757039,-10.18
10,2,CCCc1[nH]c2ccc(C(=O)N3C4CCC3CC(O)(Cc3ccc(F)c(F)c3F)C4)cc2c1C,0.585247,-10.17
4,8,Cc1cc(O)c(O)cc1N1CCN(CC(=O)N2N=C(c3ccc4c(O)cc(O)cc4c3)C(F)C2c2cccc(F)c2F)C(C#N)C1,0.54498,-10.17
4,1,CCC(C)C(C(=O)N1N=C(c2ccc3ccccc3c2)CC1c1ccccc1)N1CCN(c2ccccc2C)CC1,0.598037,-10.17
9,8,C=CCCc1c(C2(O)NC(=O)c3ccc(F)c(F)c3N2F)c(C)nn1Cc1cc(F)c(F)c2ccccc12,0.545331,-10.16
5,6,Cc1cc(C(C)N2C(=O)N(C(C)C)C3(CCCc4ccccc43)C2=O)cc2c1OCC(OCF)CO2,0.568765,-10.16
4,3,Cc1ccc(O)cc1N1CCN(CC(=O)N2N=C(c3cc(O)c4c(O)cccc4c3)CC2c2ccccc2)CC1,0.963188,-10.16
